,Unnamed: 0,Name,GradeDistribution,Color,Black,White,Yellow,z_thermo_raw,incut_size,rotational_angle,slopeness,sharpness
37,37,D5,"{'6B+': 1, '6C': 1, '6C+': 1, '7A': 1, '7A+': 0, '7B': 2, '7B+': 2, '7C': 3, '7C+': 2, '8A': 0, '8A+': 0, '8B': 0}",white,0,1,0,0 or 1,,,,
38,38,D6,"{'6B+': 1, '6C': 1, '6C+': 1, '7A': 1, '7A+': 0, '7B': 5, '7B+': 1, '7C': 5, '7C+': 2, '8A': 3, '8A+': 0, '8B': 0}",yellow,0,0,1,0 or 1,,,,
39,39,D7,"{'6B+': 0, '6C': 0, '6C+': 0, '7A': 0, '7A+': 0, '7B': 0, '7B+': 0, '7C': 1, '7C+': 1, '8A': 0, '8A+': 0, '8B': 0}",black,1,0,0,0 or 1,,,,
40,40,D8,"{'6B+': 0, '6C': 0, '6C+': 0, '7A': 1, '7A+': 1, '7B': 1, '7B+': 1, '7C': 0, '7C+': 5, '8A': 0, '8A+': 0, '8B': 0}",yellow,0,0,1,0 or 1,,,,
41,41,D9,"{'6B+': 5, '6C': 1, '6C+': 1, '7A': 2, '7A+': 4, '7B': 1, '7B+': 0, '7C': 1, '7C+': 0, '8A': 0, '8A+': 0, '8B': 0}",white,0,1,0,0 or 1,,,,
42,42,D10,"{'6B+': 3, '6C': 2, '6C+': 1, '7A': 5, '7A+': 6, '7B': 5, '7B+': 1, '7C': 5, '7C+': 3, '8A': 1, '8A+': 1, '8B': 0}",yellow,0,0,1,2,,,,
43,43,D11,"{'6B+': 1, '6C': 2, '6C+': 2, '7A': 1, '7A+': 3, '7B': 0, '7B+': 0, '7C': 1, '7C+': 1, '8A': 0, '8A+': 0, '8B': 0}",black,1,0,0,1,,,,
44,44,D12,"{'6B+': 6, '6C': 3, '6C+': 3, '7A': 1, '7A+': 1, '7B': 0, '7B+': 1, '7C': 0, '7C+': 0, '8A': 0, '8A+': 0, '8B': 0}",white,0,1,0,1 or 2,,,,
45,45,D13,"{'6B+': 0, '6C': 0, '6C+': 1, '7A': 3, '7A+': 1, '7B': 1, '7B+': 1, '7C': 0, '7C+': 3, '8A': 2, '8A+': 0, '8B': 0}",yellow,0,0,1,1 or 2,,,,
46,46,D14,"{'6B+': 0, '6C': 0, '6C+': 0, '7A': 1, '7A+': 0, '7B': 0, '7B+': 0, '7C': 0, '7C+': 0, '8A': 0, '8A+': 0, '8B': 0}",white,0,1,0,0 or 1,,,,
47,47,D15,"{'6B+': 6, '6C': 4, '6C+': 6, '7A': 8, '7A+': 5, '7B': 5, '7B+': 2, '7C': 2, '7C+': 1, '8A': 1, '8A+': 0, '8B': 0}",black,1,0,0,1 or 2,,,,
48,48,D16,"{'6B+': 0, '6C': 0, '6C+': 1, '7A': 2, '7A+': 6, '7B': 2, '7B+': 1, '7C': 2, '7C+': 1, '8A': 0, '8A+': 0, '8B': 0}",yellow,0,0,1,0 or 1,,,,
49,49,D17,"{'6B+': 5, '6C': 3, '6C+': 6, '7A': 3, '7A+': 4, '7B': 1, '7B+': 0, '7C': 0, '7C+': 1, '8A': 0, '8A+': 0, '8B': 0}",white,0,1,0,0 or 1,,,,
50,50,D18,"{'6B+': 16, '6C': 14, '6C+': 9, '7A': 18, '7A+': 18, '7B': 7, '7B+': 4, '7C': 9, '7C+': 1, '8A': 1, '8A+': 0, '8B': 0}",black,1,0,0,2,,,,
51,51,E6,"{'6B+': 6, '6C': 7, '6C+': 6, '7A': 6, '7A+': 10, '7B': 4, '7B+': 1, '7C': 1, '7C+': 0, '8A': 2, '8A+': 0, '8B': 0}",black,1,0,0,0,,,,
52,52,E7,"{'6B+': 1, '6C': 4, '6C+': 2, '7A': 3, '7A+': 4, '7B': 5, '7B+': 0, '7C': 0, '7C+': 1, '8A': 1, '8A+': 0, '8B': 0}",white,0,1,0,2,,,,
53,53,E8,"{'6B+': 20, '6C': 14, '6C+': 6, '7A': 10, '7A+': 8, '7B': 2, '7B+': 1, '7C': 0, '7C+': 1, '8A': 0, '8A+': 0, '8B': 0}",black,1,0,0,0 or 1,,,,
54,54,E9,"{'6B+': 0, '6C': 0, '6C+': 1, '7A': 1, '7A+': 5, '7B': 3, '7B+': 3, '7C': 5, '7C+': 2, '8A': 0, '8A+': 0, '8B': 0}",black,1,0,0,0 or 1,,,,
55,55,E10,"{'6B+': 7, '6C': 5, '6C+': 7, '7A': 5, '7A+': 3, '7B': 2, '7B+': 1, '7C': 2, '7C+': 1, '8A': 0, '8A+': 0, '8B': 0}",white,0,1,0,0 or 1,,,,
56,56,E11,"{'6B+': 1, '6C': 3, '6C+': 2, '7A': 1, '7A+': 4, '7B': 1, '7B+': 0, '7C': 2, '7C+': 0, '8A': 0, '8A+': 0, '8B': 0}",white,0,1,0,0 or 1,,,,
57,57,E12,"{'6B+': 10, '6C': 14, '6C+': 10, '7A': 8, '7A+': 5, '7B': 6, '7B+': 2, '7C': 0, '7C+': 1, '8A': 0, '8A+': 0, '8B': 0}",black,1,0,0,0 or 1,,,,
58,58,E13,"{'6B+': 17, '6C': 6, '6C+': 4, '7A': 8, '7A+': 5, '7B': 0, '7B+': 1, '7C': 0, '7C+': 2, '8A': 0, '8A+': 0, '8B': 0}",white,0,1,0,0 or 1,,,,
59,59,E14,"{'6B+': 0, '6C': 6, '6C+': 5, '7A': 4, '7A+': 5, '7B': 2, '7B+': 2, '7C': 1, '7C+': 0, '8A': 0, '8A+': 0, '8B': 1}",black,1,0,0,1 or 2,,,,
60,60,E15,"{'6B+': 19, '6C': 12, '6C+': 6, '7A': 5, '7A+': 4, '7B': 2, '7B+': 0, '7C': 0, '7C+': 0, '8A': 0, '8A+': 0, '8B': 0}",white,0,1,0,2,,,,
61,61,E16,"{'6B+': 6, '6C': 5, '6C+': 3, '7A': 9, '7A+': 6, '7B': 1, '7B+': 1, '7C': 2, '7C+': 0, '8A': 1, '8A+': 0, '8B': 0}",black,1,0,0,1 or 2,,,,
62,62,E18,"{'6B+': 12, '6C': 13, '6C+': 12, '7A': 11, '7A+': 7, '7B': 6, '7B+': 4, '7C': 1, '7C+': 1, '8A': 0, '8A+': 0, '8B': 0}",white,0,1,0,1 or 2,,,,
63,63,F5,"{'6B+': 36, '6C': 22, '6C+': 8, '7A': 7, '7A+': 11, '7B': 7, '7B+': 1, '7C': 1, '7C+': 1, '8A': 0, '8A+': 0, '8B': 0}",white,0,1,0,2,,,,
64,64,F6,"{'6B+': 0, '6C': 0, '6C+': 0, '7A': 0, '7A+': 0, '7B': 1, '7B+': 1, '7C': 2, '7C+': 1, '8A': 2, '8A+': 0, '8B': 0}",yellow,0,0,1,0 or 1,,,,
65,65,F7,"{'6B+': 1, '6C': 3, '6C+': 4, '7A': 3, '7A+': 3, '7B': 7, '7B+': 1, '7C': 0, '7C+': 1, '8A': 0, '8A+': 0, '8B': 0}",white,0,1,0,0 or 1,,,,
66,66,F8,"{'6B+': 0, '6C': 0, '6C+': 0, '7A': 0, '7A+': 0, '7B': 0, '7B+': 0, '7C': 2, '7C+': 1, '8A': 3, '8A+': 0, '8B': 0}",yellow,0,0,1,0 or 1,,,,
67,67,F9,"{'6B+': 1, '6C': 1, '6C+': 3, '7A': 3, '7A+': 0, '7B': 1, '7B+': 2, '7C': 2, '7C+': 2, '8A': 1, '8A+': 0, '8B': 0}",yellow,0,0,1,0 or 1,,,,
68,68,F10,"{'6B+': 3, '6C': 3, '6C+': 5, '7A': 4, '7A+': 9, '7B': 2, '7B+': 1, '7C': 1, '7C+': 5, '8A': 1, '8A+': 0, '8B': 0}",white,0,1,0,0 or 1,,,,
69,69,F11,"{'6B+': 10, '6C': 7, '6C+': 6, '7A': 6, '7A+': 12, '7B': 4, '7B+': 3, '7C': 1, '7C+': 0, '8A': 0, '8A+': 0, '8B': 0}",black,1,0,0,1,,,,
70,70,F12,"{'6B+': 1, '6C': 0, '6C+': 1, '7A': 3, '7A+': 3, '7B': 1, '7B+': 1, '7C': 2, '7C+': 1, '8A': 1, '8A+': 0, '8B': 0}",white,0,1,0,0 or 1,,,,
71,71,F13,"{'6B+': 2, '6C': 1, '6C+': 2, '7A': 8, '7A+': 4, '7B': 9, '7B+': 5, '7C': 4, '7C+': 0, '8A': 0, '8A+': 0, '8B': 0}",black,1,0,0,0 or 1,,,,
72,72,F14,"{'6B+': 13, '6C': 15, '6C+': 10, '7A': 2, '7A+': 7, '7B': 4, '7B+': 0, '7C': 0, '7C+': 1, '8A': 0, '8A+': 0, '8B': 0}",white,0,1,0,2,,,,
73,73,F15,"{'6B+': 3, '6C': 1, '6C+': 1, '7A': 5, '7A+': 9, '7B': 3, '7B+': 4, '7C': 2, '7C+': 1, '8A': 2, '8A+': 0, '8B': 0}",yellow,0,0,1,0 or 1,,,,
74,74,F16,"{'6B+': 0, '6C': 0, '6C+': 0, '7A': 0, '7A+': 1, '7B': 0, '7B+': 1, '7C': 0, '7C+': 0, '8A': 1, '8A+': 0, '8B': 0}",white,0,1,0,0 or 1,,,,
75,75,G2,"{'6B+': 5, '6C': 3, '6C+': 3, '7A': 3, '7A+': 7, '7B': 5, '7B+': 1, '7C': 2, '7C+': 3, '8A': 2, '8A+': 0, '8B': 0}",white,0,1,0,2,,,,
76,76,G4,"{'6B+': 4, '6C': 4, '6C+': 5, '7A': 5, '7A+': 5, '7B': 9, '7B+': 1, '7C': 3, '7C+': 0, '8A': 0, '8A+': 0, '8B': 0}",black,1,0,0,0 or 1,,,,
77,77,G6,"{'6B+': 1, '6C': 5, '6C+': 2, '7A': 0, '7A+': 1, '7B': 1, '7B+': 3, '7C': 1, '7C+': 1, '8A': 0, '8A+': 0, '8B': 0}",black,1,0,0,0 or 1,,,,
78,78,G7,"{'6B+': 0, '6C': 0, '6C+': 0, '7A': 0, '7A+': 2, '7B': 1, '7B+': 1, '7C': 4, '7C+': 1, '8A': 1, '8A+': 1, '8B': 0}",yellow,0,0,1,0 or 1,,,,
79,79,G8,"{'6B+': 5, '6C': 3, '6C+': 3, '7A': 4, '7A+': 2, '7B': 1, '7B+': 0, '7C': 1, '7C+': 1, '8A': 0, '8A+': 0, '8B': 0}",white,0,1,0,0,,,,
80,80,G9,"{'6B+': 6, '6C': 9, '6C+': 10, '7A': 6, '7A+': 3, '7B': 4, '7B+': 0, '7C': 0, '7C+': 0, '8A': 0, '8A+': 0, '8B': 0}",black,1,0,0,2,,,,
81,81,G10,"{'6B+': 0, '6C': 0, '6C+': 1, '7A': 0, '7A+': 0, '7B': 0, '7B+': 0, '7C': 2, '7C+': 0, '8A': 0, '8A+': 0, '8B': 0}",black,1,0,0,0 or 1,,,,
82,82,G11,"{'6B+': 0, '6C': 0, '6C+': 0, '7A': 3, '7A+': 1, '7B': 5, '7B+': 3, '7C': 5, '7C+': 4, '8A': 1, '8A+': 0, '8B': 0}",yellow,0,0,1,0 or 1,,,,
