,Name,GradeDistribution,Color,Black,White,Yellow
0,A5,"{'6B+': 5, '6C': 4, '6C+': 7, '7A': 9, '7A+': 7, '7B': 3, '7B+': 2, '7C': 1, '7C+': 3, '8A': 0, '8A+': 0, '8B': 0}",white,0,1,0
1,A9,"{'6B+': 2, '6C': 4, '6C+': 1, '7A': 2, '7A+': 7, '7B': 6, '7B+': 1, '7C': 2, '7C+': 1, '8A': 0, '8A+': 0, '8B': 0}",black,1,0,0
2,A10,"{'6B+': 0, '6C': 0, '6C+': 0, '7A': 0, '7A+': 0, '7B': 0, '7B+': 0, '7C': 0, '7C+': 2, '8A': 0, '8A+': 0, '8B': 0}",yellow,0,0,1
3,A11,"{'6B+': 0, '6C': 0, '6C+': 0, '7A': 0, '7A+': 0, '7B': 0, '7B+': 1, '7C': 0, '7C+': 0, '8A': 0, '8A+': 0, '8B': 0}",yellow,0,0,1
4,A12,"{'6B+': 0, '6C': 0, '6C+': 1, '7A': 1, '7A+': 3, '7B': 0, '7B+': 0, '7C': 0, '7C+': 1, '8A': 1, '8A+': 0, '8B': 0}",white,0,1,0
5,A13,"{'6B+': 0, '6C': 0, '6C+': 0, '7A': 0, '7A+': 1, '7B': 1, '7B+': 1, '7C': 0, '7C+': 0, '8A': 0, '8A+': 0, '8B': 0}",yellow,0,0,1
6,A14,"{'6B+': 3, '6C': 3, '6C+': 6, '7A': 4, '7A+': 4, '7B': 1, '7B+': 0, '7C': 0, '7C+': 1, '8A': 0, '8A+': 0, '8B': 0}",black,1,0,0
7,A15,"{'6B+': 0, '6C': 0, '6C+': 0, '7A': 0, '7A+': 0, '7B': 0, '7B+': 0, '7C': 0, '7C+': 1, '8A': 0, '8A+': 0, '8B': 0}",white,0,1,0
8,A16,"{'6B+': 0, '6C': 0, '6C+': 0, '7A': 0, '7A+': 0, '7B': 0, '7B+': 0, '7C': 0, '7C+': 1, '8A': 1, '8A+': 1, '8B': 0}",yellow,0,0,1
9,A18,"{'6B+': 3, '6C': 4, '6C+': 2, '7A': 8, '7A+': 7, '7B': 5, '7B+': 1, '7C': 5, '7C+': 2, '8A': 3, '8A+': 1, '8B': 0}",black,1,0,0
10,B3,"{'6B+': 4, '6C': 1, '6C+': 5, '7A': 2, '7A+': 3, '7B': 9, '7B+': 0, '7C': 1, '7C+': 2, '8A': 0, '8A+': 0, '8B': 0}",white,0,1,0
11,B4,"{'6B+': 0, '6C': 0, '6C+': 0, '7A': 5, '7A+': 7, '7B': 3, '7B+': 0, '7C': 5, '7C+': 5, '8A': 2, '8A+': 1, '8B': 0}",yellow,0,0,1
12,B6,"{'6B+': 0, '6C': 2, '6C+': 0, '7A': 1, '7A+': 4, '7B': 1, '7B+': 1, '7C': 3, '7C+': 1, '8A': 0, '8A+': 0, '8B': 0}",black,1,0,0
13,B7,"{'6B+': 2, '6C': 1, '6C+': 0, '7A': 0, '7A+': 1, '7B': 0, '7B+': 0, '7C': 0, '7C+': 1, '8A': 0, '8A+': 0, '8B': 0}",yellow,0,0,1
14,B8,"{'6B+': 3, '6C': 3, '6C+': 4, '7A': 5, '7A+': 4, '7B': 2, '7B+': 0, '7C': 0, '7C+': 0, '8A': 0, '8A+': 0, '8B': 0}",white,0,1,0
15,B9,"{'6B+': 3, '6C': 0, '6C+': 3, '7A': 2, '7A+': 0, '7B': 5, '7B+': 0, '7C': 1, '7C+': 1, '8A': 0, '8A+': 0, '8B': 0}",white,0,1,0
16,B10,"{'6B+': 2, '6C': 5, '6C+': 1, '7A': 2, '7A+': 1, '7B': 0, '7B+': 0, '7C': 0, '7C+': 1, '8A': 0, '8A+': 0, '8B': 0}",black,1,0,0
17,B11,"{'6B+': 9, '6C': 1, '6C+': 5, '7A': 2, '7A+': 0, '7B': 2, '7B+': 0, '7C': 1, '7C+': 0, '8A': 0, '8A+': 0, '8B': 0}",white,0,1,0
18,B12,"{'6B+': 0, '6C': 0, '6C+': 1, '7A': 1, '7A+': 4, '7B': 1, '7B+': 1, '7C': 1, '7C+': 1, '8A': 0, '8A+': 0, '8B': 0}",black,1,0,0
