,Name,Grade,Moves,Holdsets,Id
128,YAYABLACK,6B+,"[{'Id': 1544193, 'Description': 'H5', 'IsStart': True, 'IsEnd': False}, {'Id': 1544194, 'Description': 'J5', 'IsStart': True, 'IsEnd': False}, {'Id': 1544195, 'Description': 'J7', 'IsStart': False, 'IsEnd': False}, {'Id': 1544196, 'Description': 'E8', 'IsStart': False, 'IsEnd': False}, {'Id': 1544197, 'Description': 'H10', 'IsStart': False, 'IsEnd': False}, {'Id': 1544198, 'Description': 'C13', 'IsStart': False, 'IsEnd': False}, {'Id': 1544199, 'Description': 'D15', 'IsStart': False, 'IsEnd': False}, {'Id': 1544200, 'Description': 'D18', 'IsStart': False, 'IsEnd': True}]","[{'Id': 0, 'Description': 'Hold Set B', 'Color': '#000000', 'Holds': None}]",88172
129,YOU GET A CAR,6B+,"[{'Id': 1675023, 'Description': 'K5', 'IsStart': True, 'IsEnd': False}, {'Id': 1675024, 'Description': 'F5', 'IsStart': False, 'IsEnd': False}, {'Id': 1675025, 'Description': 'E8', 'IsStart': False, 'IsEnd': False}, {'Id': 1675026, 'Description': 'A9', 'IsStart': False, 'IsEnd': False}, {'Id': 1675027, 'Description': 'D12', 'IsStart': False, 'IsEnd': False}, {'Id': 1675028, 'Description': 'C13', 'IsStart': False, 'IsEnd': False}, {'Id': 1675029, 'Description': 'F14', 'IsStart': False, 'IsEnd': False}, {'Id': 1675030, 'Description': 'G14', 'IsStart': False, 'IsEnd': False}, {'Id': 1675031, 'Description': 'G18', 'IsStart': False, 'IsEnd': True}]","[{'Id': 0, 'Description': 'Hold Set A', 'Color': '#dee1ce', 'Holds': None}, {'Id': 0, 'Description': 'Hold Set B', 'Color': '#000000', 'Holds': None}]",312142
130,èª²é¡Œ2,6B+,"[{'Id': 1546886, 'Description': 'F5', 'IsStart': True, 'IsEnd': False}, {'Id': 1546887, 'Description': 'E8', 'IsStart': False, 'IsEnd': False}, {'Id': 1546888, 'Description': 'C10', 'IsStart': False, 'IsEnd': False}, {'Id': 1546889, 'Description': 'G14', 'IsStart': False, 'IsEnd': False}, {'Id': 1546890, 'Description': 'F15', 'IsStart': False, 'IsEnd': False}, {'Id': 1546891, 'Description': 'I18', 'IsStart': False, 'IsEnd': True}]","[{'Id': 0, 'Description': 'Original School Holds', 'Color': '#f6f60c', 'Holds': None}, {'Id': 0, 'Description': 'Hold Set A', 'Color': '#dee1ce', 'Holds': None}, {'Id': 0, 'Description': 'Hold Set B', 'Color': '#000000', 'Holds': None}]",96879
131,èª²é¡Œ24,6B+,"[{'Id': 1560252, 'Description': 'F5', 'IsStart': True, 'IsEnd': False}, {'Id': 1560253, 'Description': 'J8', 'IsStart': False, 'IsEnd': False}, {'Id': 1560254, 'Description': 'I10', 'IsStart': False, 'IsEnd': False}, {'Id': 1560255, 'Description': 'I11', 'IsStart': False, 'IsEnd': False}, {'Id': 1560256, 'Description': 'E13', 'IsStart': False, 'IsEnd': False}, {'Id': 1560257, 'Description': 'F14', 'IsStart': False, 'IsEnd': False}, {'Id': 1560258, 'Description': 'B9', 'IsStart': False, 'IsEnd': False}, {'Id': 1560259, 'Description': 'B16', 'IsStart': False, 'IsEnd': False}, {'Id': 1560260, 'Description': 'D17', 'IsStart': False, 'IsEnd': False}, {'Id': 1560261, 'Description': 'A18', 'IsStart': False, 'IsEnd': True}]","[{'Id': 0, 'Description': 'Hold Set A', 'Color': '#dee1ce', 'Holds': None}, {'Id': 0, 'Description': 'Hold Set B', 'Color': '#000000', 'Holds': None}]",140195
132,1 2 3 STELLA,7C,"[{'Id': 1552158, 'Description': 'I4', 'IsStart': True, 'IsEnd': False}, {'Id': 1552159, 'Description': 'D5', 'IsStart': True, 'IsEnd': False}, {'Id': 1552160, 'Description': 'E9', 'IsStart': False, 'IsEnd': False}, {'Id': 1552161, 'Description': 'F12', 'IsStart': False, 'IsEnd': False}, {'Id': 1552162, 'Description': 'I15', 'IsStart': False, 'IsEnd': False}, {'Id': 1552163, 'Description': 'G18', 'IsStart': False, 'IsEnd': True}]","[{'Id': 0, 'Description': 'Hold Set A', 'Color': '#dee1ce', 'Holds': None}, {'Id': 0, 'Description': 'Hold Set B', 'Color': '#000000', 'Holds': None}]",114322
133,40DEGREES4,7C,"[{'Id': 1621996, 'Description': 'C16', 'IsStart': False, 'IsEnd': False}, {'Id': 1621997, 'Description': 'D10', 'IsStart': False, 'IsEnd': False}, {'Id': 1621998, 'Description': 'F15', 'IsStart': False, 'IsEnd': False}, {'Id': 1621999, 'Description': 'G10', 'IsStart': False, 'IsEnd': False}, {'Id': 1622000, 'Description': 'I6', 'IsStart': True, 'IsEnd': False}, {'Id': 1622001, 'Description': 'I18', 'IsStart': False, 'IsEnd': True}, {'Id': 1622002, 'Description': 'J2', 'IsStart': True, 'IsEnd': False}]","[{'Id': 0, 'Description': 'Original School Holds', 'Color': '#f6f60c', 'Holds': None}, {'Id': 0, 'Description': 'Hold Set A', 'Color': '#dee1ce', 'Holds': None}, {'Id': 0, 'Description': 'Hold Set B', 'Color': '#000000', 'Holds': None}]",227999
134,AFONFE,7C,"[{'Id': 1521170, 'Description': 'B4', 'IsStart': True, 'IsEnd': False}, {'Id': 1521171, 'Description': 'K12', 'IsStart': False, 'IsEnd': False}, {'Id': 1521172, 'Description': 'J14', 'IsStart': False, 'IsEnd': False}, {'Id': 1521173, 'Description': 'D10', 'IsStart': False, 'IsEnd': False}, {'Id': 1521174, 'Description': 'I5', 'IsStart': False, 'IsEnd': False}, {'Id': 1521175, 'Description': 'F9', 'IsStart': False, 'IsEnd': False}, {'Id': 1521176, 'Description': 'K10', 'IsStart': False, 'IsEnd': False}, {'Id': 1521177, 'Description': 'H18', 'IsStart': False, 'IsEnd': True}]","[{'Id': 0, 'Description': 'Original School Holds', 'Color': '#f6f60c', 'Holds': None}]",23192
135,BACK IN THE GAME,7C,"[{'Id': 1521927, 'Description': 'B4', 'IsStart': True, 'IsEnd': False}, {'Id': 1521928, 'Description': 'F6', 'IsStart': True, 'IsEnd': False}, {'Id': 1521929, 'Description': 'D10', 'IsStart': False, 'IsEnd': False}, {'Id': 1521930, 'Description': 'F13', 'IsStart': False, 'IsEnd': False}, {'Id': 1521931, 'Description': 'K12', 'IsStart': False, 'IsEnd': False}, {'Id': 1521932, 'Description': 'J14', 'IsStart': False, 'IsEnd': False}, {'Id': 1521933, 'Description': 'K7', 'IsStart': False, 'IsEnd': False}, {'Id': 1521934, 'Description': 'K18', 'IsStart': False, 'IsEnd': True}]","[{'Id': 0, 'Description': 'Original School Holds', 'Color': '#f6f60c', 'Holds': None}, {'Id': 0, 'Description': 'Hold Set A', 'Color': '#dee1ce', 'Holds': None}, {'Id': 0, 'Description': 'Hold Set B', 'Color': '#000000', 'Holds': None}]",24624
136,BLOW,7C,"[{'Id': 1864958, 'Description': 'D6', 'IsStart': True, 'IsEnd': False}, {'Id': 1864959, 'Description': 'H18', 'IsStart': False, 'IsEnd': True}, {'Id': 1864960, 'Description': 'H15', 'IsStart': False, 'IsEnd': False}, {'Id': 1864961, 'Description': 'H9', 'IsStart': False, 'IsEnd': False}, {'Id': 1864962, 'Description': 'I8', 'IsStart': False, 'IsEnd': False}, {'Id': 1864963, 'Description': 'K12', 'IsStart': False, 'IsEnd': False}]","[{'Id': 0, 'Description': 'Original School Holds', 'Color': '#f6f60c', 'Holds': None}]",19646
137,BUBBLE GUMP,7C,"[{'Id': 1670215, 'Description': 'A5', 'IsStart': True, 'IsEnd': False}, {'Id': 1670216, 'Description': 'B9', 'IsStart': False, 'IsEnd': False}, {'Id': 1670217, 'Description': 'C5', 'IsStart': True, 'IsEnd': False}, {'Id': 1670218, 'Description': 'C13', 'IsStart': False, 'IsEnd': False}, {'Id': 1670219, 'Description': 'G18', 'IsStart': False, 'IsEnd': True}]","[{'Id': 0, 'Description': 'Hold Set A', 'Color': '#dee1ce', 'Holds': None}, {'Id': 0, 'Description': 'Hold Set B', 'Color': '#000000', 'Holds': None}]",54627
