,Grade,number_of_holds,downwards_count,only_upwards_count,only_sideways_count,yellow_count,black_count,white_count,downwards_percent,black_percent,white_percent,yellow_percent,b_w_percent,only_upwards_percent,mean_distance_of_holds,last_move_diff,first_move_diff
37,7C+,7,5,2,0,1,2,4,0.7142857142857143,0.2857142857142857,0.5714285714285714,0.1428571428571428,0.8571428571428572,0.2857142857142857,9.24511042088765,0.988080844975037,8.38025795724594
38,7C+,5,5,0,0,5,0,0,1.0,0.0,0.0,1.0,0.0,0.0,7.2555884090120175,1314.6075583612885,19.02194199215512
39,7C+,6,6,0,0,6,0,0,1.0,0.0,0.0,1.0,0.0,0.0,7.895253181812857,1081.7320257482168,21999.526911024528
40,6C,8,8,0,0,1,4,3,1.0,0.5,0.375,0.125,0.875,0.0,7.05752525682692,0.7231443910897984,1.2157483281235817
41,6C,10,10,0,0,1,5,4,1.0,0.5,0.4,0.1,0.9,0.0,7.124566646268126,0.9992602136059988,1.5985861740330942
42,6C,7,7,0,0,0,0,7,1.0,0.0,1.0,0.0,1.0,0.0,6.711440984948619,0.8171887753129045,1.411161011334047
43,6C,8,7,0,1,0,2,6,0.875,0.25,0.75,0.0,1.0,0.0,6.062333276084158,0.8498339427225251,1.411161011334047
44,6C,7,7,0,0,0,7,0,1.0,1.0,0.0,0.0,1.0,0.0,6.412001051443928,0.9789567250793376,1.5359230231331509
45,6C,9,8,1,0,1,4,4,0.8888888888888888,0.4444444444444444,0.4444444444444444,0.1111111111111111,0.8888888888888888,0.1111111111111111,7.284553836682745,0.7103421523950285,4.937358543644193
46,6C,9,9,0,0,0,9,0,1.0,1.0,0.0,0.0,1.0,0.0,6.723888408738224,1.198144857373712,1.7349897117949438
47,6C,5,5,0,0,0,0,5,1.0,0.0,1.0,0.0,1.0,0.0,7.579653640995737,1.1003203380165345,1.869050398426964
48,6C,7,7,0,0,0,4,3,1.0,0.5714285714285714,0.4285714285714285,0.0,1.0,0.0,6.799720386421309,0.7357817127679956,1.5950916018269914
49,6C,8,8,0,0,1,7,0,1.0,0.875,0.0,0.125,0.875,0.0,6.562775750228879,0.8777515710846894,1.438673740345923
50,6C,6,6,0,0,0,0,6,1.0,0.0,1.0,0.0,1.0,0.0,6.9586823312519375,0.9017193963210388,1.411161011334047
51,6C,4,4,0,0,0,1,3,1.0,0.25,0.75,0.0,1.0,0.0,7.346844824409264,1.1141529012580684,1.8044342566517664
52,6C,8,8,0,0,0,4,4,1.0,0.5,0.5,0.0,1.0,0.0,6.354223451464781,0.7567282999225784,1.832401412190867
53,6C,7,7,0,0,0,6,1,1.0,0.8571428571428571,0.1428571428571428,0.0,1.0,0.0,6.855220077013668,0.7327857541919504,1.5729193636585672
54,6C,7,7,0,0,0,3,4,1.0,0.4285714285714285,0.5714285714285714,0.0,1.0,0.0,6.29741233784828,0.788515764492782,1.7436453673661378
55,6C,7,7,0,0,0,7,0,1.0,1.0,0.0,0.0,1.0,0.0,6.523959626262878,0.691272290371225,1.7349897117949438
56,6C,6,5,0,1,0,0,6,0.8333333333333334,0.0,1.0,0.0,1.0,0.0,6.884488540542668,0.5837012180523169,1.759507167517702
57,6C,8,8,0,0,0,8,0,1.0,1.0,0.0,0.0,1.0,0.0,6.5501898970555175,0.6582661915364794,1.163018779148608
58,6C,9,9,0,0,0,6,3,1.0,0.6666666666666666,0.3333333333333333,0.0,1.0,0.0,7.506978837210151,0.7831145073060829,3.111470574914067
59,6C,7,6,0,1,1,0,6,0.8571428571428571,0.0,0.8571428571428571,0.1428571428571428,0.8571428571428572,0.0,5.785347172234311,0.9181101111911468,1.7436453673661378
60,6C,8,8,0,0,0,7,1,1.0,0.875,0.125,0.0,1.0,0.0,7.435747220328017,0.9293418073359232,1.986401203254025
61,6C,7,7,0,0,1,3,3,1.0,0.4285714285714285,0.4285714285714285,0.1428571428571428,0.8571428571428572,0.0,6.57193303203455,3.2005864689479795,1.411161011334047
62,6C,6,6,0,0,0,5,1,1.0,0.8333333333333334,0.1666666666666666,0.0,1.0,0.0,6.5222129520842,1.031607486663627,1.6632077218625585
63,6C,7,7,0,0,2,1,4,1.0,0.1428571428571428,0.5714285714285714,0.2857142857142857,0.7142857142857143,0.0,6.465686943836935,0.9898938550834704,6.637734768745121
64,6C,9,9,0,0,0,6,3,1.0,0.6666666666666666,0.3333333333333333,0.0,1.0,0.0,6.847091584873473,0.8245114635188681,1.6789046118500632
65,6C,5,5,0,0,0,2,3,1.0,0.4,0.6,0.0,1.0,0.0,6.682960779908974,0.8547999367527116,1.8044342566517664
66,6B+,7,7,0,0,0,0,7,1.0,0.0,1.0,0.0,1.0,0.0,7.475767327180946,0.8171887753129045,2.4655318826221584
67,6B+,8,7,1,0,0,0,8,0.875,0.0,1.0,0.0,1.0,0.125,7.378040262200689,0.6386189775041886,1.9964868706506247
68,6B+,6,6,0,0,0,2,4,1.0,0.3333333333333333,0.6666666666666666,0.0,1.0,0.0,6.29174676402894,0.7647726682121038,1.4404311741015752
69,6B+,7,7,0,0,0,6,1,1.0,0.8571428571428571,0.1428571428571428,0.0,1.0,0.0,6.711998498145913,0.9293418073359232,1.834466357381446
70,6B+,8,8,0,0,0,4,4,1.0,0.5,0.5,0.0,1.0,0.0,6.55266883762432,0.6907981380137739,1.4404311741015752
71,6B+,9,9,0,0,0,5,4,1.0,0.5555555555555556,0.4444444444444444,0.0,1.0,0.0,6.471306376070037,0.5771880992121087,1.4404311741015752
72,6B+,7,7,0,0,0,0,7,1.0,0.0,1.0,0.0,1.0,0.0,6.502686021552504,0.6697833369948526,1.411161011334047
73,6B+,7,7,0,0,0,4,3,1.0,0.5714285714285714,0.4285714285714285,0.0,1.0,0.0,7.195239612661625,0.7946224763595819,1.411161011334047
74,6B+,7,7,0,0,0,0,7,1.0,0.0,1.0,0.0,1.0,0.0,6.147909273654425,0.7361398493765813,1.8023991362405984
75,6B+,7,7,0,0,0,7,0,1.0,1.0,0.0,0.0,1.0,0.0,6.3998409888303245,0.788515764492782,1.8709582731023104
76,6B+,8,8,0,0,1,4,3,1.0,0.5,0.375,0.125,0.875,0.0,6.8483518971777215,1.2994665570909274,2.3271380469195053
77,6B+,6,6,0,0,0,0,6,1.0,0.0,1.0,0.0,1.0,0.0,6.115852809351119,0.7315697778527867,1.7066377302990074
78,6B+,6,6,0,0,0,0,6,1.0,0.0,1.0,0.0,1.0,0.0,6.941802295289778,0.765828820801984,1.7066377302990074
79,6B+,6,6,0,0,0,2,4,1.0,0.3333333333333333,0.6666666666666666,0.0,1.0,0.0,6.0402575810312,0.9507020850841152,1.4404311741015752
80,6B+,9,8,1,0,1,0,8,0.8888888888888888,0.0,0.8888888888888888,0.1111111111111111,0.8888888888888888,0.1111111111111111,6.657136383475698,2.7779177259554766,1.9964868706506247
81,6B+,8,8,0,0,2,5,1,1.0,0.625,0.125,0.25,0.75,0.0,6.8740981290068754,0.567449549141369,3.8265627371862623
82,6B+,6,6,0,0,0,3,3,1.0,0.5,0.5,0.0,1.0,0.0,6.738606560750954,0.8777515710846894,1.411161011334047
83,6B+,8,8,0,0,0,8,0,1.0,1.0,0.0,0.0,1.0,0.0,6.229380232792758,0.6784228859552799,1.8709582731023104
84,6B+,7,7,0,0,0,0,7,1.0,0.0,1.0,0.0,1.0,0.0,6.943000235762573,0.6299257594810446,1.7436453673661378
85,6B+,7,7,0,0,0,7,0,1.0,1.0,0.0,0.0,1.0,0.0,6.213118249900869,0.691272290371225,1.7349897117949438
86,6B+,6,6,0,0,0,0,6,1.0,0.0,1.0,0.0,1.0,0.0,6.446356175733294,0.7647726682121038,1.7436453673661378
87,6B+,7,5,1,1,0,0,7,0.7142857142857143,0.0,1.0,0.0,1.0,0.1428571428571428,7.641316535114194,0.8498339427225251,2.094283510738271
88,6B+,8,8,0,0,0,8,0,1.0,1.0,0.0,0.0,1.0,0.0,6.992549638340384,1.0404043808715728,2.272941758697816
89,6B+,7,7,0,0,3,0,4,1.0,0.0,0.5714285714285714,0.4285714285714285,0.5714285714285714,0.0,5.965694204467426,0.7361398493765813,2.247866935971925
90,6B+,9,8,1,0,4,1,4,0.8888888888888888,0.1111111111111111,0.4444444444444444,0.4444444444444444,0.5555555555555556,0.1111111111111111,6.680419408315951,6.711246521788598,3.238451248716041
91,6B+,5,5,0,0,0,4,1,1.0,0.8,0.2,0.0,1.0,0.0,6.925795469822792,0.9525742434898754,1.8044342566517664
92,6B+,5,5,0,0,0,2,3,1.0,0.4,0.6,0.0,1.0,0.0,6.8833673908699184,1.1197670380830584,1.7436453673661378
93,6B+,6,6,0,0,0,4,2,1.0,0.6666666666666666,0.3333333333333333,0.0,1.0,0.0,6.617727093401542,0.8640051530809643,1.5950916018269914
94,6B+,6,6,0,0,0,2,4,1.0,0.3333333333333333,0.6666666666666666,0.0,1.0,0.0,6.63109912739291,0.9415646280989366,1.8814200712845024
95,6B+,7,7,0,0,0,4,3,1.0,0.5714285714285714,0.4285714285714285,0.0,1.0,0.0,6.520696494212388,0.7755589114992182,2.172539487808009
96,6B+,7,7,0,0,0,4,3,1.0,0.5714285714285714,0.4285714285714285,0.0,1.0,0.0,6.444026070651075,1.0404043808715728,2.1243230784120763
97,6B+,8,7,1,0,0,3,5,0.875,0.375,0.625,0.0,1.0,0.125,7.424608383667703,0.8547999367527116,2.094283510738271
98,6B+,6,6,0,0,0,0,6,1.0,0.0,1.0,0.0,1.0,0.0,6.553225129128724,0.7647726682121038,1.411161011334047
99,6B+,7,7,0,0,1,2,4,1.0,0.2857142857142857,0.5714285714285714,0.1428571428571428,0.8571428571428572,0.0,6.911728207327367,0.8838038349123144,10.354386309619033
100,6B+,7,7,0,0,2,3,2,1.0,0.4285714285714285,0.2857142857142857,0.2857142857142857,0.7142857142857143,0.0,6.6071277309208885,2.6761026891536086,7.95204212092913
101,6B+,8,8,0,0,0,3,5,1.0,0.375,0.625,0.0,1.0,0.0,6.624001408696878,0.6229362175483244,2.081157513925324
102,6B+,7,7,0,0,1,3,3,1.0,0.4285714285714285,0.4285714285714285,0.1428571428571428,0.8571428571428572,0.0,5.687520817680579,2.6761026891536086,1.4404311741015752
103,6B+,7,7,0,0,1,2,4,1.0,0.2857142857142857,0.5714285714285714,0.1428571428571428,0.8571428571428572,0.0,6.120835360515757,0.8268189571133169,2.247866935971925
104,6B+,7,7,0,0,0,7,0,1.0,1.0,0.0,0.0,1.0,0.0,6.8173359721648055,0.9343714175386302,1.8217906390091787
105,6B+,9,8,1,0,1,1,7,0.8888888888888888,0.1111111111111111,0.7777777777777778,0.1111111111111111,0.8888888888888888,0.1111111111111111,7.190733623351302,0.7070958967754024,3.8121600433340905
106,6B+,6,6,0,0,0,4,2,1.0,0.6666666666666666,0.3333333333333333,0.0,1.0,0.0,6.339134581068556,0.9769063775247264,1.4404311741015752
107,6B+,7,6,1,0,0,2,5,0.8571428571428571,0.2857142857142857,0.7142857142857143,0.0,1.0,0.1428571428571428,7.22169263856005,0.7500319068145587,2.03976236703968
108,6B+,7,7,0,0,0,4,3,1.0,0.5714285714285714,0.4285714285714285,0.0,1.0,0.0,6.862136842299683,0.8838038349123144,1.87926230025682
109,6B+,8,8,0,0,0,4,4,1.0,0.5,0.5,0.0,1.0,0.0,7.06364302099064,0.7231443910897984,1.9060948319882447
110,6B+,8,8,0,0,0,2,6,1.0,0.25,0.75,0.0,1.0,0.0,7.3639541524552765,0.9582681151839552,1.411161011334047
111,6B+,9,8,1,0,0,0,9,0.8888888888888888,0.0,1.0,0.0,1.0,0.1111111111111111,7.097841197803311,0.5837012180523169,2.417137338804166
112,6B+,7,7,0,0,0,7,0,1.0,1.0,0.0,0.0,1.0,0.0,6.339561345485573,0.691272290371225,1.5359230231331509
113,6B+,7,6,1,0,1,2,4,0.8571428571428571,0.2857142857142857,0.5714285714285714,0.1428571428571428,0.8571428571428572,0.1428571428571428,7.820794783965552,2.7457094771624404,2.2119326288036305
114,6B+,7,7,0,0,0,2,5,1.0,0.2857142857142857,0.7142857142857143,0.0,1.0,0.0,6.990040657157737,0.5918198495069147,1.7436453673661378
115,6B+,7,7,0,0,0,2,5,1.0,0.2857142857142857,0.7142857142857143,0.0,1.0,0.0,6.253376310690576,0.8498339427225251,1.3639011139053798
116,6B+,7,7,0,0,0,3,4,1.0,0.4285714285714285,0.5714285714285714,0.0,1.0,0.0,5.687915053584911,0.765828820801984,1.4404311741015752
117,6B+,9,8,1,0,0,5,4,0.8888888888888888,0.5555555555555556,0.4444444444444444,0.0,1.0,0.1111111111111111,7.432120976515716,0.6907981380137739,2.195480094851769
118,6B+,7,7,0,0,0,3,4,1.0,0.4285714285714285,0.5714285714285714,0.0,1.0,0.0,6.864033309429088,0.8617488014207305,2.081157513925324
119,6B+,6,6,0,0,0,5,1,1.0,0.8333333333333334,0.1666666666666666,0.0,1.0,0.0,6.177105897196475,0.4448104919908537,1.8044342566517664
120,6B+,6,6,0,0,0,2,4,1.0,0.3333333333333333,0.6666666666666666,0.0,1.0,0.0,6.74770145803216,0.8838038349123144,1.5950916018269914
121,6B+,7,7,0,0,2,2,3,1.0,0.2857142857142857,0.4285714285714285,0.2857142857142857,0.7142857142857143,0.0,6.176091826516107,0.6502393226135978,2.247866935971925
122,6B+,7,7,0,0,3,0,4,1.0,0.0,0.5714285714285714,0.4285714285714285,0.5714285714285714,0.0,6.58966532842205,0.9017193963210388,2.070389493479885
123,6B+,10,10,0,0,1,2,7,1.0,0.2,0.7,0.1,0.9,0.0,6.130418733704017,0.6964638640423255,3.148462519627813
124,6B+,7,7,0,0,0,0,7,1.0,0.0,1.0,0.0,1.0,0.0,7.333456968391703,0.8171887753129045,2.447280937470204
125,6B+,8,8,0,0,0,5,3,1.0,0.625,0.375,0.0,1.0,0.0,6.830004797376176,0.8171887753129045,1.4404311741015752
126,6B+,7,7,0,0,0,3,4,1.0,0.4285714285714285,0.5714285714285714,0.0,1.0,0.0,6.405161724416311,0.9265134203257476,1.7436453673661378
127,6B+,7,7,0,0,0,0,7,1.0,0.0,1.0,0.0,1.0,0.0,6.346241817885364,0.7500319068145587,1.7436453673661378
128,6B+,8,8,0,0,0,8,0,1.0,1.0,0.0,0.0,1.0,0.0,6.99221467200193,0.691272290371225,1.495484963296058
129,6B+,9,9,0,0,0,4,5,1.0,0.4444444444444444,0.5555555555555556,0.0,1.0,0.0,6.720513634750496,0.611050412968271,1.7436453673661378
130,6B+,6,6,0,0,1,3,2,1.0,0.5,0.3333333333333333,0.1666666666666666,0.8333333333333334,0.0,6.666763665154966,2.293769210638312,1.4404311741015752
131,6B+,10,10,0,0,0,2,8,1.0,0.2,0.8,0.0,1.0,0.0,6.791798318656186,0.512771349494382,1.7436453673661378
132,7C,6,6,0,0,0,2,4,1.0,0.3333333333333333,0.6666666666666666,0.0,1.0,0.0,7.642492116524555,0.9356834323028108,3.51288982135017
133,7C,7,6,1,0,2,3,2,0.8571428571428571,0.4285714285714285,0.2857142857142857,0.2857142857142857,0.7142857142857143,0.1428571428571428,8.103047032359454,4.214297529403373,2.716668337452431
134,7C,8,7,1,0,8,0,0,0.875,0.0,0.0,1.0,0.0,0.125,7.315451163751475,360.9598077592483,58.54555576418234
135,7C,8,7,1,0,6,1,1,0.875,0.125,0.125,0.75,0.25,0.125,7.636628064968697,5.245424811183386,1139.3459319574415
136,7C,6,6,0,0,6,0,0,1.0,0.0,0.0,1.0,0.0,0.0,6.553563730932933,439.440269309456,595.3956963119705
137,7C,5,5,0,0,0,2,3,1.0,0.4,0.6,0.0,1.0,0.0,7.523357407851995,1.39461348759439,2.206998074997917
138,7C,8,8,0,0,4,3,1,1.0,0.375,0.125,0.5,0.5,0.0,6.505398667188206,16.67689064336469,6.1547359777498825
139,7C,7,7,0,0,0,5,2,1.0,0.7142857142857143,0.2857142857142857,0.0,1.0,0.0,7.804558818422471,0.6860350059058004,1.7857732418229062
140,7C,6,5,1,0,0,6,0,0.8333333333333334,1.0,0.0,0.0,1.0,0.1666666666666666,7.437752219915444,0.9588161465667364,12.697024483439634
141,7C,5,5,0,0,3,2,0,1.0,0.4,0.0,0.6,0.4,0.0,7.111954532503203,911.6491372134576,1.8197774591686988
142,7C,5,4,1,0,0,2,3,0.8,0.4,0.6,0.0,1.0,0.2,9.171839156614793,1.3458951694122046,2.421619225436762
143,7C,5,4,1,0,1,2,2,0.8,0.4,0.4,0.2,0.8,0.2,7.358782026118085,1.3570857623086336,3.148462519627813
144,7C,7,7,0,0,7,0,0,1.0,0.0,0.0,1.0,0.0,0.0,7.005884377010594,10.786069270196183,15.317758093273149
145,7C,6,6,0,0,0,6,0,1.0,1.0,0.0,0.0,1.0,0.0,7.926410151214287,1.1604188897659522,2.3391296153743584
146,7C,8,7,1,0,6,1,1,0.875,0.125,0.125,0.75,0.25,0.125,7.300452557890191,8.89295580952154,33.46130882041204
147,7C,6,6,0,0,3,2,1,1.0,0.3333333333333333,0.1666666666666666,0.5,0.5,0.0,6.764013286205898,417.6943839750128,5.191151566759835
148,7C,7,7,0,0,0,7,0,1.0,1.0,0.0,0.0,1.0,0.0,6.716850880532716,1.2878099427660783,2.190691896676176
149,7C,6,6,0,0,0,6,0,1.0,1.0,0.0,0.0,1.0,0.0,7.6444541670193695,1.151151837329151,1.8834453933776816
150,7C,6,6,0,0,0,6,0,1.0,1.0,0.0,0.0,1.0,0.0,7.378983137364406,1.0771255362284249,2.190691896676176
151,7C,7,6,1,0,2,4,1,0.8571428571428571,0.5714285714285714,0.1428571428571428,0.2857142857142857,0.7142857142857143,0.1428571428571428,7.705420058566951,1.0020335809720269,4.163799734150365
152,7C,7,7,0,0,5,0,2,1.0,0.0,0.2857142857142857,0.7142857142857143,0.2857142857142857,0.0,6.060576668853352,5.856826040528815,156.70618641958836
153,7C,11,9,2,0,10,1,0,0.8181818181818182,0.0909090909090909,0.0,0.9090909090909092,0.0909090909090909,0.1818181818181818,7.89584749128539,11.885560927323205,53.48169723040829
154,7C,9,8,1,0,2,3,4,0.8888888888888888,0.3333333333333333,0.4444444444444444,0.2222222222222222,0.7777777777777778,0.1111111111111111,7.475771563951562,0.7368062855199997,8.885260022859997
155,7C,5,5,0,0,4,1,0,1.0,0.2,0.0,0.8,0.1999999999999999,0.0,7.530931761439119,53.54137234737812,2.8517810673286803
156,7C,5,4,1,0,0,5,0,0.8,1.0,0.0,0.0,1.0,0.2,7.899722431340871,1.2630305831177744,2.1408766893226816
157,7C,7,6,1,0,2,2,3,0.8571428571428571,0.2857142857142857,0.4285714285714285,0.2857142857142857,0.7142857142857143,0.1428571428571428,8.803008515359995,2.1301450365264274,2.650760814888724
158,7C,7,6,1,0,7,0,0,0.8571428571428571,0.0,0.0,1.0,0.0,0.1428571428571428,7.4139420181256,223.2050061268105,145.03515026848976
159,7C,4,4,0,0,1,0,3,1.0,0.0,0.75,0.25,0.75,0.0,7.956372775201942,8.608142978764244,1.8719376063035325
160,7C,7,6,1,0,0,0,7,0.8571428571428571,0.0,1.0,0.0,1.0,0.1428571428571428,7.764049286195034,1.2430424529252613,1.3950820185955302
161,7C,6,6,0,0,0,2,4,1.0,0.3333333333333333,0.6666666666666666,0.0,1.0,0.0,7.184442608425795,0.8672429469938627,1.203712240084663
162,7C,6,5,1,0,5,0,1,0.8333333333333334,0.0,0.1666666666666666,0.8333333333333334,0.1666666666666666,0.1666666666666666,7.802339851723567,104.28696090817348,3.820570631562789
163,7C,6,5,1,0,1,4,1,0.8333333333333334,0.6666666666666666,0.1666666666666666,0.1666666666666666,0.8333333333333334,0.1666666666666666,8.329148923964523,1.2764723099845878,20.52339058891913
164,7C,7,5,2,0,2,2,3,0.7142857142857143,0.2857142857142857,0.4285714285714285,0.2857142857142857,0.7142857142857143,0.2857142857142857,6.485369255400791,1.162152970146424,11.111500730540998
165,7B+,6,4,2,0,0,0,6,0.6666666666666666,0.0,1.0,0.0,1.0,0.3333333333333333,8.683117102515537,1.2088696636713483,2.1619304822457783
166,7B+,6,5,1,0,0,4,2,0.8333333333333334,0.6666666666666666,0.3333333333333333,0.0,1.0,0.1666666666666666,8.756557950698737,0.9485356740287396,2.403028558259178
167,7B+,7,7,0,0,0,4,3,1.0,0.5714285714285714,0.4285714285714285,0.0,1.0,0.0,7.074918181330826,1.0634330580394808,2.36032185949645
168,7B+,6,6,0,0,0,5,1,1.0,0.8333333333333334,0.1666666666666666,0.0,1.0,0.0,7.219037849485651,0.9018877445152076,2.1101419718152843
169,7B+,8,7,1,0,0,5,3,0.875,0.625,0.375,0.0,1.0,0.125,7.025921921267494,0.7212654919317703,2.070389493479885
170,7B+,6,6,0,0,4,2,0,1.0,0.3333333333333333,0.0,0.6666666666666666,0.3333333333333333,0.0,6.813729103564215,28.542641657017256,1.3526126806523182
171,7B+,5,5,0,0,2,1,2,1.0,0.2,0.4,0.4,0.6,0.0,7.906757990845096,40.96677963137964,2.081157513925324
172,7B+,5,4,0,1,0,2,3,0.8,0.4,0.6,0.0,1.0,0.0,7.483393430308562,1.1213951092224836,2.17841680969686
173,7B+,6,5,1,0,0,6,0,0.8333333333333334,1.0,0.0,0.0,1.0,0.1666666666666666,6.904027901425215,0.7914031948654399,10.82174582861733
174,7B+,6,5,1,0,0,4,2,0.8333333333333334,0.6666666666666666,0.3333333333333333,0.0,1.0,0.1666666666666666,7.028009032047199,0.8801877008630792,6.473550106925658
175,7B+,5,5,0,0,3,1,1,1.0,0.2,0.2,0.6,0.4,0.0,7.844301192958751,660.7269713177224,2.61527046501482
176,7B+,7,7,0,0,7,0,0,1.0,0.0,0.0,1.0,0.0,0.0,6.628697105544373,632.4062810244383,19.02194199215512
177,7B+,6,6,0,0,0,4,2,1.0,0.6666666666666666,0.3333333333333333,0.0,1.0,0.0,6.967315336419586,0.8908495523462655,1.8709582731023104
178,7B+,8,8,0,0,0,6,2,1.0,0.75,0.25,0.0,1.0,0.0,7.132502275315518,0.7914031948654399,2.2144702135979424
179,7B+,6,6,0,0,1,1,4,1.0,0.1666666666666666,0.6666666666666666,0.1666666666666666,0.8333333333333334,0.0,7.516206647982662,1.4277531689197211,8.883761503977018
180,7B+,5,5,0,0,5,0,0,1.0,0.0,0.0,1.0,0.0,0.0,7.721145064134097,588.7504247395599,27.729385871530024
